State,Electoral Votes
AL,9
AK,3
AZ,8
AR,6
CA,54
CO,8
CT,8
DE,3
DC,3
FL,25
GA,13
HI,4
ID,4
IL,22
IN,12
IA,7
KS,6
KY,8
LA,9
ME,4
MD,10
MA,12
MI,18
MN,10
MS,7
MO,11
MT,3
NE,5
NV,4
NH,4
NJ,15
NM,5
NY,33
NC,14
ND,3
OH,21
OK,8
OR,7
PA,23
RI,4
SC,8
SD,3
TN,11
TX,32
UT,5
VT,3
VA,13
WA,11
WV,5
WI,11
WY,3
